exporter_name,exporter_address,exporter_city,exporter_state,exporter_country,exporterLAT,exporterLONG,hazWasteDesc,totalQuantityinShipment,units,ExpectedManagementMethod,receivingfacilityzipcode,ReceivingFacilityEPAIDNumber,importer_name,importer_address,importer_city,importer_state,latitude,longitude
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRY,ALBERTA,CANADA,57.0305786,-111.6067886,"HAZARDOUS WASTE SOLID, NOS",183205,P,H010,43725,OHD042319244,AMG VANADIUM,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRY,ALBERTA,CANADA,57.0305786,-111.6067886,"HAZARDOUS WASTE SOLID, NOS",183139,P,H010,43725,OHD042319244,AMG VANADIUM,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRY,ALBERTA,CANADA,57.0305786,-111.6067886,"HAZARDOUS WASTE SOLID, NOS",183072,P,H010,43725,OHD042319244,AMG VANADIUM,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",182845,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRY,ALBERTA,CANADA,57.0305786,-111.6067886,"HAZARDOUS WASTE SOLID, NOS",182653,P,H010,43725,OHD042319244,AMG VANADIUM,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",182433,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",182389,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",182278,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",182256,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",182146,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",181860,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
CHEMREC INC,190 RUE BROSSEAU,COWANSVILLE,QUEBEC,CANADA,45.2228737,-72.7710266,"WASTE FLAMMABLE LIQUIDS, NOS (TOLUENE, XYLENE)",181507,P,H061,66736,KSD9806332,SYSTECH ENVIRONMENTAL CORP,1420 SOUTH CEMENT ROAD,FREDONIA,KS,37.5156317,-95.8243324
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRY,ALBERTA,CANADA,57.0305786,-111.6067886,"HAZARDOUS WASTE SOLID, NOS",181440,P,H010,43725,OHD042319244,AMG VANADIUM,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
CHEMREC INC,190/ BROSSEAU,COWANSVILLE,QUEBEC,CANADA,45.2228737,-72.7710266,"WASTE FLAMMABLE LIQUIDS, NOS (TOLUENE, XYLENES)",181176,P,H061,66736,KSD980633259,SYSTECH ENVIRONMENTAL CORP,1420 SOUTH CEMENT ROAD,FREDONIA,KS,37.5156317,-95.8243324
